S.No,Text,,,,,,,,,,,,,,,,,,,,,
2,"modi ji
children who are from different states are unable to get admission in schools because the do not have identity card aadhar  and else.... if you make provision like till class 3 or 4 can get admission to schools without identification the enrolment to school will get boost",,,,,,,,,,,,,,,,,,,,,
3,Modi ji Hamara Desh Krishi Pradhan Desh Hai Hamari Adhuri jadhavwadi,,,,,,,,,,,,,,,,,,,,,
4,Srimaan Pradhan mantriji sarv prat ham appko pranaam hamari aapse yek   prarthana hai ki app hum madhiyam Paristhith walo ke logo ko bank ke aise sakt niyam jo ki 5000 ya 3000 tak saving me rakhna sambhav nahi hai wo bhi security ki naukri par us par do bachan ko private school me padhana bahut pareshani hoti hai aise me kaise sambhav hai inki fits aur sugar ki private treatment ye sab kaise sambhav hoga app hi hamara margdarshan kijiye koi bhi sakt niyam mat lijiyega bas aapse itni prarthana ha,,,,,,,,,,,,,,,,,,,,,
5,"Respected sir,
I am an architecture student and and I believe architects play a major role in shaping up any society, city or even a nation. I believe that architects should also be involved with your team at the central level in policy making as well as building a great nation. After the independence, now changes have begun to happen, and we can change the way world will look towards new rising India. From railway stations to streets, and from street to nation we can highlight India globally.",,,,,,,,,,,,,,,,,,,,,
6,why the first class is mandatory in all central govt jobs  and other students are not eligible like 2nd class and pass candidates please solve this type of criteria all are talented even 2nd class or pass class people and sometime health problems or else some rural people representation problem in exams but everyone has its own hidden talent so please please terminate this type of criteria of job selection and give the way to young and talented people to move the india very well and smart,,,,,,,,,,,,,,,,,,,,,
7,"Respected PM,
Please i request you to speak about Road Safety, Safety on work and Home safety for women's in the Mann Ki Baat on 26th March.",,,,,,,,,,,,,,,,,,,,,
8,"Our Beloved Prime Minister, I'm an start up entrepreneur and trying to establish a company to do research and marketing of high quality and high yielding seeds suitable for changing climate. From November month sales have reduced due to scarcity of money in the market as well a percieved fund shortage. The pain we are suffering is multiple, like growing interest burden, sales loss, employee related expenses, slow recovery of outstanding in the market. Now we are at the verge of collapse. Bless.",,,,,,,,,,,,,,,,,,,,,
9,"Mother Cow is NOT an animal for 80 crore Hindus since the beginning of Era.Mother Cow is savior of our life.We demand that Mother Cow should be declared as ""RASHTRA MATA"" in our Constitution and there should be a separate ministry(Gau Mantralay).•	We are importing Idols of Mother Cow, and its server Lord Krishna from various countries and shamelessly exporting Beef( Meat of Cow) to other countries just to gain foreign currency which is  shameful.",,,,,,,,,,,,,,,,,,,,,
10,"#Indian atheles grab 18 medals in winter paralympics 2017# We are proud of them,we must recognize their efforts and hard work and they must be rewarded appropriately.           Tejvir Singh ,promoted to class 8th.",,,,,,,,,,,,,,,,,,,,,
1,"respected dearest prime minister,
I am proud for your supreme decesion to upgrade to afflux to my country. the mission about house in all has been overwelmed me . I pray to you to which can be able to get the opportunity of your plan in fobour of me . Bank denied to give housing loan to me due to my agree culturing earning .
my request is kindly to make an arrangement to give housing loan foran agriculturist and oblige .",,,,,,,,,,,,,,,,,,,,,
2,"Respected Prime Minister,
Thanks for taking India toward GST. My maan Ki Baat is that , in GST all suppliers of Goods And Services will get Compliance Rating from GSTN for proper return filling , less mismatch and prompt tax payment. My suggestion is that this rating should be used at par with Crisil rating or Cibil rating. More you compliant , you should get benefit in income tax , bank loans interest rating on lower side, and finally in assessments and audit in GST.",,,,,,,,,,,,,,,,,,,,,
3,"The technology bought in can be helpful right from household, industry, labourers, farmers, building low cost smart city infrastructure.
Sir bring down the cost of technology used in building up every segment in the country.",,,,,,,,,,,,,,,,,,,,,
4,"Sir,increasing incidents of violence against doctors are being reported from all over India. There is strong need for sensitizing public, administration, police and judiciary. Violence is being justified by judges & political leaders. Profession is highly demoralized. We joined profession to save & treat people but unfortunately now we feel scared about our own safety. Sir, you as our leader, please appeal to public for an understanding.A strong central act is needed for our work place safety.",,,,,,,,,,,,,,,,,,,,,
5,"Make in India, Start ups & Young entrepreneurs in India working in fields of infrastructure development, Industrial technology and education, they all require technology at minimal cost to take the initiative ahead speedily. To develop some of the technology right from scratch takes time and involves high prices. There is technology available outside India, if it is bought in India to make a start up or made available to our young ones at minimal costs. It will really make a difference.",,,,,,,,,,,,,,,,,,,,,
6,"
Aaj kisan bijali par nirbhar hein ,agar kisano ko bijali ki jagaha sour urja par convert kiya jaye to kisano ki faslo mein lagat kam ho jayegi, or kisan aatm nirbhar ho jayega ,
Isliye kisano kye liye sastye sour panel ki aavshyakta hein ,or kisano mein sour urja kye prati jagrukta ki aavshyakta hein ,
Dhanyvaad",,,,,,,,,,,,,,,,,,,,,
7,"Respected and Honourable Prime Minister Sir,
I request you to give your advice in your Mann Ki Baath to the people who ill treat and abuse elders / senior citizens / aged people at their home instead of taking care / looking after them",,,,,,,,,,,,,,,,,,,,,
8,"Honorable PM, Sir, my view is, in private school to force the parents to purchase text books from selected author and recover the heavy cost from parents and same books is not allowed to re-use from the senior students, so it is a wastage of our assets. Now in a digital India,to promot and allow a soft pdf copy of text books so save the environment and it is requested  to implement a ncert books as a standard text books.Regards,",,,,,,,,,,,,,,,,,,,,,
9,"Respected PM,
In current budget speech Our FM has provision on Cash transaction above 2lac is illegal and Receipent of the cash amt liable to Pay Penalty. Ok it is good move to curb black money. But what about the Mandir & temples were crores of Rs. Every day received in cash. In my opinion cash Donation in temples should be ban and every single Rs.in digital mode. If we take only top 5 Temple in India their Net Receipts in cash in Lakhs crores more than Any big company turnover So take note.",,,,,,,,,,,,,,,,,,,,,
10,"Sir
May I kindly request you to open up a portal division  where interested teachers can upload their knowledge or share it with the students who are interested in various subjects.",,,,,,,,,,,,,,,,,,,,,
1,"Honourable PM Modiji
It is a humble request to kindly device various methods to promote afforestation like compulsory green trees plantation in educational institute and all  private and government offices and institutes. I have noticed that sides of the railway tracks are unutilized without trees kindly utilize those side by planting tree saplings.If possible Pass a bill in the parliament to stop undue burning of trash as offense under law.",,,,,,,,,,,,,,,,,,,,,
2,"Sir paramilitary me job ko15 saal kr do or fir use bad unko unki yogta anusar civil me adjust krdo. New job bhi create hongi, or troops jo bhut salon se ghar se dur rhte h, unki civil life bhi lagbhag end ho jati h dobara vo civil me new life g skta h. Only opinion",,,,,,,,,,,,,,,,,,,,,
3,"Respected sir, please implement the pension scheme to all CAPF personnel on the option of withdraw only 25% of the accumulated of NPS amount remaining 75% will not be given. Old pensioners not contributing any amount but they are getting full pension. We NPS personnel contributing but not getting pension. So, please implement the pension as old at least for CAPF personnel of this nation on condition of contribution only. Please please look into the matter. JAI HIND.",,,,,,,,,,,,,,,,,,,,,
4,Any Indian student can not get a direct job in foreign country. Due to less quality of our education system. what will you do to improve this?,,,,,,,,,,,,,,,,,,,,,
5,"why are all students not coming back after completing study in abroad?
I found that In India we have no guarantee about jobs.Also, there is no value of graduate students. I was a bachelor student, in Ahmedabad Gujarat, at that time my result was excellent, and 180 students gave an interview in placement.
and the company has selected the student who was a son of famous businessman.!!! and his result was so much lower than me.",,,,,,,,,,,,,,,,,,,,,
6,"Modi ji your dream is to provide electricity 24/7 to everyone till year2022. Since i have seen i my village people using bulb consuming100W-200W of energy. Thus, about 50%-60% elctricity is stealing. And in gzb+up,some street lights using 500W and in train more than 100W bulbs are using which meant that it is possible to bring your dream to be true. like it............",,,,,,,,,,,,,,,,,,,,,
7,"honourable prime minister..
I want to give my advice on moral policing. Sir as we know  there are some persons in UP police who are misusing their powers..
Once one police man stopped me and asked for the papers at that time i was just 16 years old and that man was continously abusing me.
I support ANTI ROMEO step but their are some peoples who will misuse their powers..agar koi banda kisi bhi police wale ke against koi bhi aisi harkat ka proof laya then he will get some prize.
Thank you",,,,,,,,,,,,,,,,,,,,,
8,"Dear PM,Please stop the retired MPs and MLAs pension and perks to save the tax payers money.As they promised to 'serve' the people during election campaigns and should be adore to their promises. the honest tax payers whose income is more than 10 lac annum give up their LPG subsidy,why the ex MPs and MLAs not give up their pensions and perks in the name of nation?The crore patis need not deserve for this type of perks and it should be stopped immediately.",,,,,,,,,,,,,,,,,,,,,
9,"what will you do, middle-class family is not able to find fresh food. Today in cities we all are eating mixing food...",,,,,,,,,,,,,,,,,,,,,
10,People are usually afraid of saying such statement that police department is also corrupt. There is corruption in police department either it is traffic police or other police. I usually hear from people that police take bribe from them. Police listen to only powerful people. Police charge money from people for doing task. We should too have dicussion on blog on My Gov regarding corruption in police department. We too usually see in television through media remaining in the image.,,,,,,,,,,,,,,,,,,,,,
1,"Modi ji aapka sapna hai ki 2022 tak desh mein 24hrs bijli milegi har ghar mein. Lekin ye ab possible kyun nahi hai, i seen that gaon mein din-raat bijli chori hoti hain aur din-raat 100W aur 200W ke bulb ""switch-ON"" hein. Iss tarah se hamare desh mein 50%-60% bijli chori ho jati hai. Aur yahin nahi galiyon mein lagi street bulb 500W bohot heavy hote hein aur Train no.64168 mein lage max. bulb 100W se upar thhe iss tarah hamare desh mein agar LED bulb ka use ho to ab bhi possible hai. Like it.👍",,,,,,,,,,,,,,,,,,,,,
2,"Respect PM, I would like to suggest removing of RTO and make it Single market just like GST. This days due to jobs people keep moving to different states and cities. It's very painful process of paying road tax again and registration of vehicles. Lot of corruption and Agent charges one has to go through. If we are keeping RTO then process should be more simpler like passport and fully online / digital.",,,,,,,,,,,,,,,,,,,,,
3,"Honorable Prime Minister,
Kindly make a speech to encourage young Graduates, to take up Self employment and become entrepreneur ...and use the startup india..this will quickly develop our country..also i request you to look into Research and Development R&D..in every field in every part of the country..",,,,,,,,,,,,,,,,,,,,,
4,"Respect Prime Minister, ",,,,,,,,,,,,,,,,,,,,,
5,"Dear Honourable Prime Minister,
I would like to propose a ""National Karam Day"" wherein people from all walks of society will need to mandatorily contribute 24 hours in a year for Nation building activities. It can range from planting trees to washing roads, to providing consulting expertise for infrastructure projects and others, based on ones ability and interest. The more people will get involved and empowered in local activities, the more broader aspect of the country as a home will prevail.",,,,,,,,,,,,,,,,,,,,,
6,"Dear Sir, you are promoting digital India through Upi. But let me tell you my experience. None of the ecommerce websites or apps promote this nor any mobile recharge platforms including carrier apps, e en government service agencies like IRCTC, AIR INDIA, BILL PAYMENT SERVICES. so please rectify this trend.",,,,,,,,,,,,,,,,,,,,,
7,"Modiji I'm Muktar Moulvi Advocate from Gadag.Every person who belongs India waiting for that day. Ur honest Mann ki Baat ""no reservations in New India""
Ujjval Bhavesh",,,,,,,,,,,,,,,,,,,,,
8,"Respected PM ji,Namaskar,I J HARIHARAREDDY  submit here with my achievements  for peace and nation development with a request to present it to the nation  Thanking you sir  J Hariharareddy Hm pcn government highschool Nagari",,,,,,,,,,,,,,,,,,,,,
9,"Good day Sir,
All over India we should have one standard for making roads so that below standard job is not done. And the Indians can also enjoy world class roads with better standard , facility of foot path etc.  And India can be identified with that infrastructure.",,,,,,,,,,,,,,,,,,,,,
10,"Dear Honourable Prime Minister,
I would like to draw your attention to create a Social Security No. tagged with existing Aadhaar for fulfilling basic needs of people(roti,kapda and makaan).In a country like India, where only 1% of the total population pays income tax,it may seem to be a humongous task. But if re-distribution of wealth can happen by having a ceiling to buy land/flat/car/jewellery etc,the apportioned wealth by the Government can be used to fulfil those basic needs(sabka vikas)",,,,,,,,,,,,,,,,,,,,,
1,"namsakar sir mai sadharan gav se hoo mai .Hamare yaha tahsil mai ya,zilha ke sarkari hostpital mai jada tar jada log kue nahi jate .muze aisa lagta hai jop gav ke log private hostpital kue jate muze lagta hai jo private hostpital service milti hai jo sarkari hostpital mai kue nahi milti. garib logo chahakar uss private hostpital jana padta hai .muze aapse kahana  hai ki sarkari hostpita jo davaiya hoti obhi expire hoti lekin marij ko nahi milti .meri maan ki baat aapko batadi hai.aapko",,,,,,,,,,,,,,,,,,,,,
2,"please exempt banking rules regarding maintenance of minimum balance, transaction fee etc should be relaxed for the pensioners whose monthly pension is less than 50,000.  sbi should allow present credit and debit holders who have government sponsored credit debit cards such as rupay and similar ones.",,,,,,,,,,,,,,,,,,,,,
3,"PM sir (Polythin ka use cum karne k liye)
Kuck saal pehle Jab Papa ghar se bahar jate the to Mummi ya daadi unko ghar se nikalne se pehle Kapde ki Thaili de kar hi bhejti thi. Ab aap plz is baar, mann ki baat main yehi baat, desh ki saari Mahilao aur Deshwasiyo se keh de ki, wo jab bhi koi Family member ghar se bahar jaaye.. to use  Kapde ki Thaili zaroor de de.. ye polythin ka tension cum zarror karegi aur Chote grah udhyogo ko naya baazar degi..
Your
Santosh Sahu
Indore MP",,,,,,,,,,,,,,,,,,,,,
4,"Reevaluation-200
Exam form- around 150 per subject
And ofcourse in the end the student miracurously passes!
Every semester the pune university earns crores through this.
This is a common occurence if u check the university result.
Who gives them the rights to play with the students future?
I would like you to look into this matter and make us believe dat u actually thrive for a corruption free india. Thousands of students are suffering because the university is busy filling there pockets",,,,,,,,,,,,,,,,,,,,,
5,"This points include a large part of the society.
Despite of all advances made by us what actually pinches my heart is the grand question "" JIS DESH ME PURSHO KE JHAGRE ME BHI MAA BAHEN KI GALIYA DIYA JAAYE WAHA SICHNA PAREGA ... YE KAHA AA GAYE HUM ""
Ye swach bharat . ye make in India in Sab se zaruri hai better cultural india.",,,,,,,,,,,,,,,,,,,,,
6,"Respected PM
I would like to disclose a big scam that is being run in the university of pune.
Every year the university of pune fails thousands of students and this is not due to incapability of the students, this is all credits to the magnificient checking of the staff of unipune. I can name several such instances of their horrid checking, one being a calculation error ( by 10 marks). Are the checkers illiterate?
This all is done so as they can squeeze out money from us via-
Photocopy- 200",,,,,,,,,,,,,,,,,,,,,
7,Regarding MP pension,,,,,,,,,,,,,,,,,,,,,
8,Animal's life and issue related with that,,,,,,,,,,,,,,,,,,,,,
9,"Sir i would request you to introduce law wherein Courts while granting bails orders Accused's to do community services like cleaning public toilets for certain period, planting trees and nurturing them, service old homes etc. Many a times Accused's easily get bail and trial runs for many years. Therefore especially in offences against women like rape, eve teasing, rash driving, breaking signals and other traffic rules.",,,,,,,,,,,,,,,,,,,,,
10,"sir i say that govt should help student who related from poor family.if he prapare any comptative exame govt help his attand free coaching centre free books and study material by her test of eligibility.if our countri's youth devlop then country devlop.
JAI HIND",,,,,,,,,,,,,,,,,,,,,
1,there is lot of secrecy maintained at the govt level even today between many law enforcing agencies though there are several laws in force like benami transaction act. but there is no system to interlink them for a ful proof mechanism to punish the  law breaker in a single blow. Even ministries within are not linked to share information for evasions  being done by unscrupulous elements.In the finance ministry itself income tax/customs/ED/Banks/DRI etc donot share information for action.,,,,,,,,,,,,,,,,,,,,,
2,The staff deputed and engaged for cleanliness and paid from public purse are mostly absent and found at senior officers residences as their domestic helps. This british culture of keeping orderlies should be done away with and the officers engaged in such practices should be punished accordingly. Keeping cities/towns/ villages/streets is not an impossible task if the people engaged for this start working on a regular basis.,,,,,,,,,,,,,,,,,,,,,
3,For swachhata abhiyan why not to discipline the municipal corporations/nagar nigam/ panchayat to work on daily basis to keep the cities / towns/ villages clean as for that they are being paid in taxes. why to call people for photographs only show for swachhata . if the authorities clean the roads/ public places and sanitize them on a regular basis a minimal participation by the general public by not littering will do the magic.All govt offices pay a hefty sum on cleanliness but the staff deputed,,,,,,,,,,,,,,,,,,,,,
4,Dear Sri Narendra Modiji,,,,,,,,,,,,,,,,,,,,,
5,"Builders who are delaying project deliberately, should be severely punished immediately against complaints. Since builder is not bothering about common man, why Govt. should bother about builder. Govt. should acquire his and his relatives property and sell it or develop it and settle the issue of common man within one month time. Hope you will treat us as human being and take the sever action with law in this regard.",,,,,,,,,,,,,,,,,,,,,
6,"Dear Modiji. We feel that you are not bothering about common man. eg. RERA Act to be introduced in May 2017. It is totally builder friendly. DO you think against this act builder will co-operate? Never. Delaying the Possession of house is still regular and they dont bother, because there is provision to control builder and no process to recover the money of customer with interest on time. There should be a strict law under such circumstanes. Punishment should be acquire his property develop it.",,,,,,,,,,,,,,,,,,,,,
7,"EVEN I ASKED THEM (RAJPUT REGIMENT CENTER , FATEHGARH , DISTT FARRUKHABAD .U.P ) , THEY HAVE NOT PAID MY AL DUES / DOCUMENTATION . AND THEY SAY MY DOCUMENTS DESTROYED AFTER 25 YEARS .
WITHOUT SETTLEMENT OF MY DUES / DOCUMENTATION , I ASKED THEM QUESTION WHO HAS GIVEN ORDER TO DESTROY MY DOCUMENTS . AND IF IT IS REALLY DESTROYED , INDIAN ARMY OR RRC SHOULD HAVE COMPENSATE ME FINANCIALLY. SIR , MY QUESTION WILL I GET THE RIGHT / JUSTICE ? WAITING A DECISION FROM U.REGARDS . TRIDIP KUMAR DAS",,,,,,,,,,,,,,,,,,,,,
8,"#mannkibaat Congrats for transformation in UP.Appreciate the crime etc tackled. Looking forward this to all states.
Bring investments & StattUps to UP next",,,,,,,,,,,,,,,,,,,,,
9,"Energy wastage/losses is about 24 percent in our country compared to about 6 percent with more than 3 times our energy consumption is . With people's participation in rural areas lot can be improved. Swacha Bharat given wide publicity which has caught the imagination of the people to some extent.
In my opinion equal importance if not more is given in this direction and appeal from the PM to people in general followed by other measures will do good which is needed environmental considerations.",,,,,,,,,,,,,,,,,,,,,
10,"Sir, I understand that stringent laws will bring corruption under control but they will find new routes. Only transformation of mind & heart can bring permanent change. Religion can play vital role. You have to give call to the religious leaders to make the followers follow simplicity and spirituality. There is love in it. I have a neighbour who does not eat anything on Tuesday night. It was call given by Shastriji to save food in those days. Such call will transform India particularly youth.",,,,,,,,,,,,,,,,,,,,,
1,"manneeya pm mahodaya ji,
           mai bharat ka ek citizen hone ke nate aapke digital india, digital finencial activities se avgat hoon coruption mukt bharat banane ke liye apki muhim ki sarahana karte hai iske saath hi badhati hui population ko control karna ati avasyak hai aapse nivedan hai ki har religion ke logon per control population ka niyam ""HAM DO HAMARE DO"" lagana anivarya karne ki kripa kare jisse desh ka vikash ho sake.",,,,,,,,,,,,,,,,,,,,,
2,"As New India/Bharat announced by Shri Narendra bhai Modi , we would like to draw your kind attention that there are so many Plots  in India which falls under the ""change of use Category"" ",,,,,,,,,,,,,,,,,,,,,
3,"EVEN MY CENTER RAJPUT REGIMENT CENTER . NO POSITIVE REPLY STILL I HAVE RECEIVE . OUR UNIT RAJPUT REGIMENT CENTER , FATEHGARH, U.P , GAVE REPLY AFTER 25 YEARS MY SERVICE RECORD DESTROYED . SIR SO FUN REPLY IT IS - WHICH THEY HAVE TO GIVE ME THE DAY OF DISCHARGE , THEY WAITED FURTHER 25 YEARS , AND DESTROYED MY DOCUMENTS WITHOUT SETTLEMENT OF MY DOCUMENTATION / MY HARD MONEY . I SERVE FOR THE NATION . I AM ASKING YOU , THIS IS THE REWARD . ",,,,,,,,,,,,,,,,,,,,,
4,"Honourable PM sir,
DGR is making every step towards the resettlement after retirement of esm. Still in a recent employment in sbi clerk cadre ex servicemen were denied employment on the basis of language. It is very painful that after serving youth to country resettlement is not sure then it is shame on the policy which ensure the resettlement of esm. Aapke speech se ek aasha ki kiran dikhti hai lekin on ground it is different. So if something you want to do for esm  please look into these.",,,,,,,,,,,,,,,,,,,,,
5,"IT IS IN CONTINUATION .... AND WITH THE EFFORTS OF ZILA SAINIK BOARD , RAIGAD , I RECEIVED MY INCOMPLETE DISCHARGE BOOK AFTER 45 YEARS (AUGUST 2016 ), CAN YOU IMAGINE MY RIGHT I RECEIVED AFTER 45 YEARS IN OUR 73 YEARS COUNTRY . MY EX SERVICEMAN STATUS IS PENDING , MY IDENTITY CARD IS PENDING , AND MY DUE AMOUNT IS PENDING . I AM A POOR MAN , AT THIS AGE I HAVE NO HOUSE OF MY OWN . I SUBMIT MY GRIEVANCES AT YOUR PORTAL , I KNOCKED THE DOOR OF YOURS , DEFENCE MINISTER , ALL OFFICERS AT DELHI /",,,,,,,,,,,,,,,,,,,,,
6,"your direction of KYC complains banking withdrawal is harming my daughter and two minor girls to withdraw cash through  self cheque as the re-married EX-husband in air India pilot is whill fully not giving his KYC and ICICI bank is helpless like me. Please request miss. Chanda Kochar being a ladie, to intervene to help the girls to sustain.",,,,,,,,,,,,,,,,,,,,,
7,I am writing this keeping specially women in mind. Since independence in 70 years various Governments have launched 110 schemes and programs for women empowerment.But on hindsight a very critical aspect has been missed which is handholding women after the death of the male member.In society people are with family till the earning member is alive and no one is bothered about the widow and kids  after the death of the earning member. I have ideas to work in this direction.,,,,,,,,,,,,,,,,,,,,,
8,"Respected sir,
 ""RESERVATION ON CASTE BASIS"" IT SHOULD BE based on POVERTY OTHER WISE IN COMING TIME POVERTY CAN BLAST & WILL SWIPE THE NATION Thank you....please remove the reservation on caste basis.",,,,,,,,,,,,,,,,,,,,,
9,"Respected sir.
Sir i feel very lucky to be citizen of bharat under your leadership. Also i feel very good & so proud that we are the next generation of those people who were sacrificed their life. For our better future.sir i would like to request you that please speak about early history of our bharat. & how students should spend this vacation.",,,,,,,,,,,,,,,,,,,,,
10,"Dear PM,
I wish to suggest that our present Rail Coaches are about 1.5 -2 feet higher than our platforms. Why we can not have coaches of lower height. It will help in getting in & out. Also its Centre of Gravity will be lower which will avoid toppling durin accidents.
Thanks
Suresh Chittora",,,,,,,,,,,,,,,,,,,,,
1,"For a girl, woman, lady-citizen of india to feel confident and proud of her citizenship please please please see to it that heinous crimes like rape, gang-rape, acid attacks are eliminated by penalising the culprits with land mark punishment that makes others realise they will not escape...",,,,,,,,,,,,,,,,,,,,,
2,"ACHE DIN AA GAYA ""YOU KEEP YOUR PROMISE . YOU ARE GENIUS. SIR TILL THEN , I SUGGEST THE FOLLOWING : YOU ARE A GOOD PLANNER , BUT IMPLEMENTATION OF YOUR PLAN YOU HAVE TO DEPEND ON OTHERS THAT IS YOUR GOVT WORKING MACHINERY , THAT FIELD NEED TO SUPERVISE AND CONTROL . THARE IS A LACK IN OUR COUNTRY , YOU KNOW WELL . I AM GIVING OF MY EXAMPLE . I AM EX ARMY MAN . I WAS IN INDIAN ARMY INFANTRY BATTALION RAJPUT REGIMENT CENTER . WAS IN ARMY NOT A LONGER PERIOD . IT IS NOT A MATTER . LAST 46 YEARS",,,,,,,,,,,,,,,,,,,,,
3,"Respected Sir, We are proud of you as our beloved PM. I have to draw your attention to the following burning issue:
 Total ban on production of harmful poly bags as these are causing infertility of soil, clogging of drains, death of cows, release of poisonous gag when burnt and untidiness of towns/ cities/ bus stops /railway stations. Even a small country like Bangladesh banned it almost 24 years ago. Imposing ban in some pockets on its use proved to be futile.",,,,,,,,,,,,,,,,,,,,,
4,"Dear SIR , OUR HONBLE PRIME MINISTER : YOU ARE GENIUS IN OUR 73 YEARS COUNTRY . YOUR EYES ARE EVERY WHERE FOR DEVELOPMENT OF OUR NATION . YOUR ONLY ONE DREAM THAT IS INDIA AND ITS DEVELOPMENT . YOU ALWAYS KEEP YOUR PROMISE . TODAY I REMEMBER IN THE BIGINING YOU SAID """" ACHE DIN AYEGA "". YOU KEEP YOUR PROMISE """" ACHE   ",,,,,,,,,,,,,,,,,,,,,
5,"Sir, The employees of any central/public sector/ MNC companies who got frequent transfers from one state to another, he/she faces lots of difficulties in transferring / re-registering their vehicles in the new state and practically no online systems works in this case. When he/she re-register or repaid his road tax, by that time their next transfer comes again. Sir, is it possible to make one India one registration policy for these employees. We are ready to pay extra road tax if required.",,,,,,,,,,,,,,,,,,,,,
6,"please speak about the violence against doctors at drop of hat by attendants and relatives of sick patients in both private and government hospitals.Is there any professional working non stop for 24 to 36 hours regularily and is one of most lowly paid employee in organization, yet he // she is beaten by relatives. please appeal public to stop this non sensical violence against dsoctors",,,,,,,,,,,,,,,,,,,,,
7,Before few days ago i had seed a news in Zee News channel that our country has become No. 1 in Bribe. In india almost people accept that they give and take bribe for make the things happen. One inccident came to me before some time through RTO office there is huge bribe given and taken by direct and indirect. Please do something for such corruption.,,,,,,,,,,,,,,,,,,,,,
8,"Dear PM Sir,
I am Pradeep Naik from Bangalore.",,,,,,,,,,,,,,,,,,,,,
9,"Dear Sir,",,,,,,,,,,,,,,,,,,,,,
